dataset_id,dataset_name,source_type,official_url,version,access_date,status,status_reason,recommended_next_step,download_method,local_data_available,metadata_available,images_reported,images_reported_basis,images_verified,images_verified_basis,observations_reported,observations_verified,taxa_reported,species_verified,genera_verified,taxonomy_available,observation_id_available,image_id_available,latitude_available,longitude_available,date_available,substrate_available,habitat_available,climate_available,license_available,license_notes,geographic_scope,duplicate_risk,relationship_to_other_datasets,visual_suitability,notes
fungitastic,FungiTastic,benchmark_dataset,https://bohemianvra.github.io/FungiTastic/ | https://github.com/BohemianVRA/FungiTastic | https://www.kaggle.com/datasets/picekl/fungitastic,Kaggle v15 (2025-12-03); metadata.zip oficial Last-Modified 2025-12-05; repositorio commit fb65b7e (2025-10-15),2026-09-18,METADATA_AVAILABLE,"Se descargó y auditó localmente el metadata.zip oficial completo (13 CSV: completo, Mini y FewShot). Las imágenes (≈50 GB a 500 px en Kaggle) NO se descargaron.",Semana 3: decidir subconjunto/resolución mínimos y descargar con dataset/download.py (requiere wget) solo lo necesario; resolver la licencia antes de usar las imágenes.,Metadatos: URL oficial del script dataset/download.py (metadata.zip) descargada con requests (el script oficial requiere wget). Imágenes: script oficial (--subset m|fs|full --size 300|500|720|fullsize) o Kaggle (~50 GB).,"metadatos completos (CSV, sin imágenes)",yes,630000,SOURCE_REPORTED (artículo arXiv 2408.13632: '630k photographs'; sitio: '>600.000 imágenes'),633114,LOCAL_VERIFIED: filas únicas por 'filename' en los CSV (archivos de imagen NO comprobados),350000,346459,5000,4418,1406,yes,yes,yes,yes,yes,yes,yes,yes,separate_file_not_verified,dataset_level_inconsistent,Tres afirmaciones distintas: página del artículo arXiv 'CC BY 4.0' (no aclara si aplica al dataset); ficha de Kaggle 'CC BY-NC-SA 4.0'; repositorio (código) BSD-3-Clause. Los CSV no traen licencia ni autor por imagen. Los registros de origen en GBIF (Danish Mycological Society) declaran CC BY-NC 4.0. REQUIERE REVISIÓN antes de usar imágenes.,Dinamarca (98.7% de las imágenes con countryCode=DK) y otros países europeos; 20 años de registros (año 1861–2023),ALTO con DF20 (misma colección); interno: ClosedSet ⊂ OpenSet repite archivos entre CSV (por diseño),"Amplía la colección de la que procede DF20 (Atlas de hongos daneses / GBIF). Ambos usan claves de ocurrencia de GBIF del dataset 'Danish Mycological Society, fungal records database' (verificado con 1 ID de cada CSV). Ver overlaps.csv.",SUITABLE_CANDIDATE (fuera del contexto geográfico colombiano; licencia por resolver),"Columna 'captions' (texto generado) presente, no auditada. elevation/landcover/biogeographicalRegion vienen en los CSV; clima y satélite son archivos aparte. category_id=-1 marca especies desconocidas en OpenSet."
fungitastic_aux_modalities,"FungiTastic — clima, satélite y máscaras",benchmark_dataset_component,https://cmp.felk.cvut.cz/datagrid/FungiTastic/shared/download/,archivos oficiales (Last-Modified 2024-09-02 satélite; 2025-10-15 máscaras),2026-09-18,ACCESS_PROBLEM,"climatic.zip responde HTTP 403 en el servidor oficial (satellite_RGB/NIR y masks.zip responden 200 pero no se descargaron: 4,1 GB, 3,6 GB y 0,7 GB). Según el repositorio, el clima también está en la versión de Kaggle (requiere cuenta).",No se intenta eludir el 403. Semana 3: obtener climaticData vía Kaggle con cuenta propia o solicitarlo a los autores; decidir si el clima de FungiTastic o ERA5-Land (Semana posterior).,Script oficial: --climatic / --satellite / --masks,ninguno,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_accesible,NA,NA,NA,NA,NA,NOT_VERIFIED,Estado de los enlaces registrado en data/raw/fungitastic/api/official_download_head_probes.json.
df20,Danish Fungi 2020 (DF20),benchmark_dataset,https://sites.google.com/view/danish-fungi-dataset | https://github.com/BohemianVRA/DanishFungiDataset | https://arxiv.org/abs/2103.10107,"DF20-metadata.zip (Last-Modified 2022-03-11), CSV 'PROD-2'; sitio: DF20 y DF20-Mini",2026-09-18,METADATA_AVAILABLE,"Se descargó y auditó localmente DF20-metadata.zip (train + public test). Imágenes (6,4 GB a 300 px; 110 GB originales) NO descargadas. El enlace al artículo WACV suministrado tiene un guion mal escrito (devuelve 404); la URL corregida responde 200.","Semana 3: no combinar con FungiTastic; si se usa, excluir por observationID las observaciones ya presentes en FungiTastic o preferir uno de los dos.","Metadatos: http://ptak.felk.cvut.cz/plants/DanishFungiDataset/DF20-metadata.zip; imágenes: DF20-300px.tar.gz (6,4 GB) o DF20-train_val.tar.gz (110 GB)","metadatos completos (CSV, sin imágenes)",yes,295938,"SOURCE_REPORTED (artículo, Tabla 2: 295.938 imágenes, 1.604 especies, 566 géneros)",295938,LOCAL_VERIFIED: filas únicas por ImageUniqueID (archivos NO comprobados),NA,177170,1604,1577,566,yes,yes,yes,yes,yes,yes,yes,yes,no,dataset_level_unclear+author_per_record,El artículo (arXiv) indica CC BY 4.0; el sitio no declara licencia del dataset; el CSV incluye rightsHolder (autor) por imagen. Los registros de origen en GBIF declaran CC BY-NC 4.0.,Dinamarca (99.2% countryCode=DK) y otros países europeos; años 1874–2020,ALTO con FungiTastic (ver overlaps.csv); interno: mismas observaciones en train y test (ver overlaps.csv),Predecesor histórico de FungiTastic (misma fuente: Atlas de hongos daneses vía GBIF).,SUITABLE_CANDIDATE (contexto europeo; solapado con FungiTastic),El artículo declara 1.604 especies; los CSV locales contienen menos valores distintos de 'species' (ver size_summary.csv).
mind_funga_v2,MIND.Funga App — dataset de imágenes de macrohongos neotropicales (v2),image_dataset,https://data.mendeley.com/datasets/sfrbdjvxcc/2 | https://mindfunga.ufsc.br/,"Mendeley Data v2 (2023-07-11), DOI 10.17632/sfrbdjvxcc.2",2026-09-18,REQUIRES_REVIEW,"Índice completo de archivos (18023 JPG, con SHA-256 publicado por la fuente) y nombres de carpeta (taxón) obtenidos sin descargar imágenes. Discrepancia: 18023 archivos frente a 17.467 imágenes declaradas; sin observación, GPS, fecha ni sustrato; licencia CC BY-NC 3.0; posibles variantes de fondo ('branco'/'verde'). La página de Mendeley y su API responden con un desafío de Cloudflare (HTTP 403) a las solicitudes de Python (requests); curl sí es atendido (ver informe, limitaciones).","Contactar al proyecto (mind.funga@gmail.com, según su sitio) para aclarar agrupación por observación, variantes de fondo y la discrepancia entre archivos e imágenes declaradas; descargar el ZIP (3,2 GB) manualmente desde el navegador solo si se decide usarlo.","API pública de Mendeley Data (JSON de la ficha, con curl) + lectura del directorio central del ZIP oficial por HTTP Range (curl). ZIP completo: 3,2 GB (no descargado).",índice de archivos + nombres de carpeta (sin imágenes),partial,17467,SOURCE_REPORTED (descripción de Mendeley y sitio del proyecto),18023,LOCAL_VERIFIED: entradas del índice de archivos de la API y del directorio central del ZIP (imágenes NO descargadas),NA,NA,>500 taxones (Mendeley),346,240,partial,no,partial,no,no,no,no,no,no,dataset_level,"CC BY-NC 3.0 (Mendeley Data): uso no comercial con atribución. Imágenes de fuentes mixtas (grupos de Facebook, ciencia ciudadana, artículos, socios); la procedencia por imagen no está en los metadatos.","Neotrópico (imágenes desde Brasil y otros países de América, p. ej. nombres de archivo con Ecuador/Perú); sin coordenadas",MEDIO-ALTO: hashes SHA-256 idénticos entre archivos (reportados por la fuente) y variantes 'branco/verde'; ver duplicates.csv,Independiente de las demás fuentes; puede solapar con iNaturalist/GBIF (fotografías de ciencia ciudadana) — no verificable sin observación/URL.,REQUIRES_REVIEW (contexto neotropical relevante; sin agrupación por observación),species_verified/genera_verified se DERIVAN del nombre de carpeta (solo binomios sin 'sp./aff./cf.'); classes = carpetas. Ver adapters.audit_mind_funga.
inaturalist_api,iNaturalist — plataforma y API v1,platform_api,https://www.inaturalist.org/ | https://api.inaturalist.org/v1/docs/,API v1 (consultas del 2026-09-18),2026-09-18,REMOTE_QUERYABLE,"Se ejecutaron decenas de consultas pequeñas (conteos, licencias, conteos por especie y una muestra aleatoria de 200 observaciones) guardadas como instantáneas. No se descargaron fotos.",Semana 3: para construir un subconjunto colombiano usar Open Data/AWS (no la API) o exportaciones; filtrar por licencia de la foto y grado de calidad.,"GET /observations, /observations/species_counts (place_id=7196 Colombia, taxon_id=47170 Fungi); límite recomendado ~60 solicitudes/min",instantáneas JSON de consultas + muestra de 200 observaciones,partial,NA,"NOT_VERIFIED (la API cuenta observaciones, no fotos; en la muestra: 2,34 fotos/observación)",NA,NA,127886,NA,2447,NA,NA,yes,yes,yes,yes,yes,yes,no,no,no,per_photo,"Licencia por foto (CC0, CC BY, CC BY-NC, CC BY-SA, CC BY-ND, CC BY-NC-SA, CC BY-NC-ND o todos los derechos reservados). Fungi Colombia grado de investigación: 16480 observaciones, de las cuales 10600 con fotos con licencia abierta (photo_licensed=true).",Mundial; filtro Colombia (place_id 7196): observaciones de hongos = ver observations_reported,ALTO respecto a GBIF (GBIF integra el dataset 'iNaturalist Research-grade Observations') y respecto a iNaturalist Open Data (misma fuente),Misma plataforma que inaturalist_open_data; 44.7% de los registros de GBIF con imagen de hongos en Colombia provienen de este dataset.,SUITABLE_CANDIDATE (para prueba colombiana; requiere filtrar licencias),"observations_reported = TODAS las calidades (hongos, Colombia). Muestra: 200 observaciones aleatorias grado de investigación con fotos, NO representativa del total."
inaturalist_open_data,iNaturalist Open Data (GitHub + AWS Open Data),open_data_bucket,https://github.com/inaturalist/inaturalist-open-data | https://registry.opendata.aws/inaturalist-open-data/,instantánea mensual del bucket (objetos con Last-Modified 2026-08-27); s3://inaturalist-open-data,2026-09-18,REMOTE_QUERYABLE,"Se descargó solo taxa.csv.gz (40 MB) y fragmentos iniciales (2 y 3 MB) de observations/photos para verificar el esquema. observations.csv.gz (13,1 GB) y photos.csv.gz (20,1 GB) NO se descargaron (magnitud extraordinaria); no contienen país, solo lat/lon.",Semana 3: filtrar por Colombia requiere unir observations+photos+taxa y un polígono/caja de Colombia (sin columna de país) — decidir si se justifica frente a la API o GBIF; no bajar imágenes masivamente.,"HTTPS público o `aws s3 ... --no-sign-request` (sin cuenta AWS); imágenes en photos/<id>/{original,large,medium,small,thumb,square}.<ext>",taxonomía completa (taxa.csv.gz) + fragmentos de esquema,partial,70000000,"SOURCE_REPORTED (README: 'over 70 million photos', todos los taxones, no solo hongos)",NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,yes,no,no,no,per_photo,"Solo fotos con licencia abierta según el registro AWS ('Creative Commons o Dominio Público, varía por imagen'); columna license por foto (CC0, CC-BY, CC-BY-NC, …). Mantener autoría (observer) y licencia.","Mundial (coordenadas, sin campo de país)",ALTO con iNaturalist API y con GBIF (misma fuente),Subconjunto de iNaturalist con licencia abierta; publicado también en GBIF como 'iNaturalist Research-grade Observations'.,SUITABLE_CANDIDATE (fuente principal de fotos abiertas; requiere unir tablas),"Taxones fúngicos en taxa.csv: 85373 filas (71045 activos; 59642 de rango especie). Es taxonomía, NO conteo de observaciones."
sib_colombia_portal,SiB Colombia — portal de datos,portal,https://biodiversidad.co/ | https://biodiversidad.co/data/,NA,2026-09-18,DOCUMENTED_ONLY,"Portal informativo (registros biológicos, listas, fichas, IPT). No se usó una API propia: los datos se auditaron por los tres recursos IPT indicados y, para una visión nacional, por GBIF (publishingCountry=CO).","Semana 3: si hace falta más cobertura, enumerar recursos IPT/GBIF publicados desde Colombia con multimedia (ver gbif) y revisar sus licencias.",Vía IPT (DwC-A) o vía GBIF,ninguno (ver recursos sib_*),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per_resource,NA,Colombia,ALTO con GBIF (el SiB publica en GBIF),Los recursos publicados por el SiB aparecen en GBIF cuando están registrados allí.,NOT_VERIFIED,GBIF: registros de hongos con imagen publicados desde Colombia: 7853 (SOURCE_REPORTED).
sib_macrohongosmitu,SiB Colombia IPT — Exploración y Valoración de la Diversidad Fúngica en cercanías de la comunidad Mitú-Cachivera,ipt_resource_dwca,https://ipt.biodiversidad.co/permisos/resource?r=macrohongosmitu,1.1 (publicada 2026-01-01),2026-09-18,AVAILABLE_LOCAL,Se descargó y auditó el DwC-A completo (60 registros). El archivo NO incluye extensión multimedia y la columna associatedMedia está vacía en 60 de 60 registros: no hay fotografías enlazadas.,"Usar solo como referencia taxonómica/distribución. Si el recurso tiene fotografías, deben solicitarse a la institución (fuera del DwC-A).",IPT: archive.do?r=<recurso> (Darwin Core Archive),registros completos (DwC-A); sin imágenes,yes,NA,"NOT_VERIFIED (la descripción del recurso menciona fotografías, sin enlaces en los datos)",0,LOCAL_VERIFIED: 0 registros con multimedia/associatedMedia,60,60,NA,25,27,yes,yes,no,no,no,yes,no,no,no,resource_level,CC BY 4.0 (recurso); sin licencia por registro,Colombia,BAJO internamente (ver duplicates.csv); posible solapamiento con GBIF si el recurso está registrado allí,Recurso IPT del SiB Colombia; GBIF ya integra parte del SiB (ver notes).,NOT_SUITABLE (sin imágenes en los datos),Sin coordenadas; taxón solo en texto libre (organismName) y fecha en year/month/day; verbatimEventDate contradice year/month/day en 59 de 60 registros. Especie/género/familia/fecha DERIVADOS. Registro en GBIF: ver gbif.registry_search_results.
sib_macrohongos_jbb_2023_1,SiB Colombia IPT — Organismos asociados a las plantas: Fungario del Jardín Botánico José Celestino Mutis 2023-1,ipt_resource_dwca,https://ipt.biodiversidad.co/permisos/resource?r=macrohongos_2023-1,1.0 (publicada 2023-12-22),2026-09-18,AVAILABLE_LOCAL,Se descargó y auditó el DwC-A completo (184 registros). El archivo NO incluye extensión multimedia y la columna associatedMedia está vacía en 184 de 184 registros: no hay fotografías enlazadas.,"Usar solo como referencia taxonómica/distribución. Si el recurso tiene fotografías, deben solicitarse a la institución (fuera del DwC-A).",IPT: archive.do?r=<recurso> (Darwin Core Archive),registros completos (DwC-A); sin imágenes,yes,NA,NOT_VERIFIED,0,LOCAL_VERIFIED: 0 registros con multimedia/associatedMedia,184,184,NA,56,45,yes,yes,no,yes,yes,yes,no,no,no,resource_level,CC BY-NC 4.0 (recurso); sin licencia por registro,Colombia,BAJO internamente (ver duplicates.csv); posible solapamiento con GBIF si el recurso está registrado allí,Recurso IPT del SiB Colombia; GBIF ya integra parte del SiB (ver notes).,NOT_SUITABLE (sin imágenes en los datos),Coordenadas con coma decimal (ver duplicates.csv) y fechas no ISO. Registro en GBIF: ver gbif.registry_search_results.
sib_hongos_col2023,SiB Colombia IPT — Hongos de Colombia (proyecto),ipt_resource_dwca,https://ipt.biodiversidad.co/permisos/resource?r=hongos_col2023,1.4 (publicada 2024-02-06),2026-09-18,AVAILABLE_LOCAL,Se descargó y auditó el DwC-A completo (1462 registros). El archivo NO incluye extensión multimedia y la columna associatedMedia está vacía en 1462 de 1462 registros: no hay fotografías enlazadas.,"Usar solo como referencia taxonómica/distribución. Si el recurso tiene fotografías, deben solicitarse a la institución (fuera del DwC-A).",IPT: archive.do?r=<recurso> (Darwin Core Archive),registros completos (DwC-A); sin imágenes,yes,NA,NOT_VERIFIED,0,LOCAL_VERIFIED: 0 registros con multimedia/associatedMedia,1462,1462,NA,24,245,partial,yes,no,partial,partial,yes,no,no,no,resource_level,CC0 1.0 (recurso); sin licencia por registro,Colombia,BAJO internamente (ver duplicates.csv); posible solapamiento con GBIF si el recurso está registrado allí,Recurso IPT del SiB Colombia; GBIF ya integra parte del SiB (ver notes).,NOT_SUITABLE (sin imágenes en los datos),Coordenadas corruptas por separadores decimales/de miles (ver missing_values.csv) y fechas d/m/aaaa. Registro en GBIF: la página IPT indica 'no registrado en GBIF'.
