dataset_id,relative_path,filename,file_type,size_bytes,sha256,source_url,download_date,notes
df20,data/raw/df20/DF20-metadata.zip,DF20-metadata.zip,zip,29089651,a6d75583ebf051c96b530ab99fa934967bdd19c4586ad310fc2180fb7495e6b0,http://ptak.felk.cvut.cz/plants/DanishFungiDataset/DF20-metadata.zip,2026-09-18,Metadatos oficiales de DF20 (CSV de train y test público)
df20,data/raw/df20/api/official_download_head_probes.json,official_download_head_probes.json,json,683,ab5b8e77692b2d6d18ffffe161c649201481da9f14e65877ef2a30b450e09bbc,http://ptak.felk.cvut.cz/plants/DanishFungiDataset,2026-09-19,Instantánea de la consulta 'official_download_head_probes'
fungitastic,data/raw/fungitastic/api/kaggle_dataset_view.json,kaggle_dataset_view.json,json,21093,2c1a216f730598e69baf03c50af6db03543c3072824906b5e04fb7887acc72fe,https://www.kaggle.com/api/v1/datasets/view/picekl/fungitastic,2026-09-18,Instantánea de la consulta 'kaggle_dataset_view'
fungitastic,data/raw/fungitastic/api/official_download_head_probes.json,official_download_head_probes.json,json,2412,a0c5d2627506c11a7343a9a9fe6d0b68906f4a3834bea1579df24dc8955e108b,https://cmp.felk.cvut.cz/datagrid/FungiTastic/shared/download,2026-09-19,Instantánea de la consulta 'official_download_head_probes'
fungitastic,data/raw/fungitastic/metadata.zip,metadata.zip,zip,327493894,b1dc1d24714d9522c545d8cdd8f7e6dd9999afe2620d271aeb761f1def0719ac,https://cmp.felk.cvut.cz/datagrid/FungiTastic/shared/download/metadata.zip,2026-09-18,"Paquete oficial de metadatos (CSV train/val/test/DNA de los subconjuntos completo, Mini y FewShot)"
gbif,data/raw/gbif/api/danish_mycological_dataset_all.json,danish_mycological_dataset_all.json,json,110,5d834cfa60dcb0ab3aedbe0e2459e1450601cfe334bbc63a0bcc037377cde629,https://api.gbif.org/v1/occurrence/search,2026-09-18,Instantánea de la consulta 'danish_mycological_dataset_all'
gbif,data/raw/gbif/api/danish_mycological_dataset_stillimage.json,danish_mycological_dataset_stillimage.json,json,109,d1795429302ebe40f7056d7704d793aedd4babfc92b937af71efac45da0cdcb4,https://api.gbif.org/v1/occurrence/search,2026-09-18,Instantánea de la consulta 'danish_mycological_dataset_stillimage'
gbif,data/raw/gbif/api/dataset_239f2462-dbfb-4a47-a5f0-1b7b23b91221.json,dataset_239f2462-dbfb-4a47-a5f0-1b7b23b91221.json,json,28088,b81a4ceb283b2d5263c04fe20edd4c856f3bb2fafb908c15225675ed582567c3,https://api.gbif.org/v1/dataset/239f2462-dbfb-4a47-a5f0-1b7b23b91221,2026-09-18,Instantánea de la consulta 'dataset_239f2462-dbfb-4a47-a5f0-1b7b23b91221'
gbif,data/raw/gbif/api/dataset_2e8ab72b-5931-4e04-b8ff-e1fb61305d17.json,dataset_2e8ab72b-5931-4e04-b8ff-e1fb61305d17.json,json,4611,bbfbf0e205957cd81786608944ae584ec8fbac8d6af17bd83af22592b6fe616a,https://api.gbif.org/v1/dataset/2e8ab72b-5931-4e04-b8ff-e1fb61305d17,2026-09-18,Instantánea de la consulta 'dataset_2e8ab72b-5931-4e04-b8ff-e1fb61305d17'
gbif,data/raw/gbif/api/dataset_33044985-693e-42ad-93e7-ec3b0b345978.json,dataset_33044985-693e-42ad-93e7-ec3b0b345978.json,json,18481,3e36078e3d866b310d8f48051234ccc3299c1e6a16af287c32ab8930fb239d0b,https://api.gbif.org/v1/dataset/33044985-693e-42ad-93e7-ec3b0b345978,2026-09-18,Instantánea de la consulta 'dataset_33044985-693e-42ad-93e7-ec3b0b345978'
gbif,data/raw/gbif/api/dataset_50c9509d-22c7-4a22-a47d-8c48425ef4a7.json,dataset_50c9509d-22c7-4a22-a47d-8c48425ef4a7.json,json,138428,0814639fdeb97b575b135f7d1775a1acb6d8ebaee5587a25102395c16262e1fd,https://api.gbif.org/v1/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7,2026-09-18,Instantánea de la consulta 'dataset_50c9509d-22c7-4a22-a47d-8c48425ef4a7'
gbif,data/raw/gbif/api/dataset_5a6538b8-e35c-46c4-8978-6858a657a75f.json,dataset_5a6538b8-e35c-46c4-8978-6858a657a75f.json,json,6308,7ef9dda61c70708959c3e298420406d7c90ddfc4a211b5d42a35ae744f26f92c,https://api.gbif.org/v1/dataset/5a6538b8-e35c-46c4-8978-6858a657a75f,2026-09-18,Instantánea de la consulta 'dataset_5a6538b8-e35c-46c4-8978-6858a657a75f'
gbif,data/raw/gbif/api/dataset_7ba21c92-f762-11e1-a439-00145eb45e9a.json,dataset_7ba21c92-f762-11e1-a439-00145eb45e9a.json,json,6300,615a747dc7e4a857d41a1037cdbd1af6ba52c4fff0ac169f8a31968c61385cfc,https://api.gbif.org/v1/dataset/7ba21c92-f762-11e1-a439-00145eb45e9a,2026-09-18,Instantánea de la consulta 'dataset_7ba21c92-f762-11e1-a439-00145eb45e9a'
gbif,data/raw/gbif/api/dataset_7ed55b51-4336-4f74-a05a-274afffe771f.json,dataset_7ed55b51-4336-4f74-a05a-274afffe771f.json,json,7396,f78774d909ef879ca9b9b4291fc2ec430d909a52529ca4f26dcc183cd28cb540,https://api.gbif.org/v1/dataset/7ed55b51-4336-4f74-a05a-274afffe771f,2026-09-18,Instantánea de la consulta 'dataset_7ed55b51-4336-4f74-a05a-274afffe771f'
gbif,data/raw/gbif/api/dataset_81e6cff2-b409-417e-8c72-e1bbafb7c61f.json,dataset_81e6cff2-b409-417e-8c72-e1bbafb7c61f.json,json,10118,f76a4f6fc38e76cbf7d7d22b4eaca8d0912869775d8597b279e2d76c96f0c0db,https://api.gbif.org/v1/dataset/81e6cff2-b409-417e-8c72-e1bbafb7c61f,2026-09-18,Instantánea de la consulta 'dataset_81e6cff2-b409-417e-8c72-e1bbafb7c61f'
gbif,data/raw/gbif/api/dataset_821cc27a-e3bb-4bc5-ac34-89ada245069d.json,dataset_821cc27a-e3bb-4bc5-ac34-89ada245069d.json,json,23291,d000fb8dae3b2ba364ed55aaae550c27d25dfa31f9ec478af7fa1cad3ee6ac8a,https://api.gbif.org/v1/dataset/821cc27a-e3bb-4bc5-ac34-89ada245069d,2026-09-18,Instantánea de la consulta 'dataset_821cc27a-e3bb-4bc5-ac34-89ada245069d'
gbif,data/raw/gbif/api/dataset_9f99a46b-d812-45a2-b51a-3f48f65357b5.json,dataset_9f99a46b-d812-45a2-b51a-3f48f65357b5.json,json,22806,a32df928d36e1a79d975731ca7457f882819235556af4050d0fb769465e1d1b5,https://api.gbif.org/v1/dataset/9f99a46b-d812-45a2-b51a-3f48f65357b5,2026-09-18,Instantánea de la consulta 'dataset_9f99a46b-d812-45a2-b51a-3f48f65357b5'
gbif,data/raw/gbif/api/dataset_b258e0d8-d282-4d84-898a-655c5375f645.json,dataset_b258e0d8-d282-4d84-898a-655c5375f645.json,json,7009,f0be2fab02af6fc4ec2a7dbaa38303d2e055d7a9a7950559b3cbdf260ded7ca7,https://api.gbif.org/v1/dataset/b258e0d8-d282-4d84-898a-655c5375f645,2026-09-18,Instantánea de la consulta 'dataset_b258e0d8-d282-4d84-898a-655c5375f645'
