dataset_id,query_id,url,params,query_date_utc,http_status,response_sha256,snapshot_path,summary
df20,official_download_head_probes,http://ptak.felk.cvut.cz/plants/DanishFungiDataset,{},2026-09-19T00:12:50Z,200,2f50249130a84fe1ff56f77f861533d46d7d08a8bf6bb2c96f3d9517a3d740b4,data/raw/df20/api/official_download_head_probes.json,Solo HEAD
fungitastic,kaggle_dataset_view,https://www.kaggle.com/api/v1/datasets/view/picekl/fungitastic,{},2026-09-18T22:59:40Z,200,0139271cd7cb0c97effaf87cb5125b01c8bf2bd1c80fbdb20e1c2243cf941229,data/raw/fungitastic/api/kaggle_dataset_view.json,currentVersionNumber=15
fungitastic,official_download_head_probes,https://cmp.felk.cvut.cz/datagrid/FungiTastic/shared/download,{},2026-09-19T00:12:47Z,200,41e516a7871086befdd06f8b53c55299cecb21dbaf6ef87c456ea16407f895db,data/raw/fungitastic/api/official_download_head_probes.json,Solo HEAD; no se descargó ningún archivo
gbif,danish_mycological_dataset_all,https://api.gbif.org/v1/occurrence/search,"{""datasetKey"": ""84d26682-f762-11e1-a439-00145eb45e9a"", ""limit"": 0}",2026-09-18T23:28:09Z,200,bc2c79b940452e8b6bdfbe9e8d510710a5b9318e82622f541705c4137c83a8d0,data/raw/gbif/api/danish_mycological_dataset_all.json,count=1313791
gbif,danish_mycological_dataset_stillimage,https://api.gbif.org/v1/occurrence/search,"{""datasetKey"": ""84d26682-f762-11e1-a439-00145eb45e9a"", ""limit"": 0, ""mediaType"": ""StillImage""}",2026-09-18T23:28:10Z,200,28988c8899ec6b1555a21c7fe84703edcb63a7d094383ddf33f32aaf76693198,data/raw/gbif/api/danish_mycological_dataset_stillimage.json,count=565781
gbif,dataset_239f2462-dbfb-4a47-a5f0-1b7b23b91221,https://api.gbif.org/v1/dataset/239f2462-dbfb-4a47-a5f0-1b7b23b91221,{},2026-09-18T23:17:26Z,200,86fd51bfd405eff673b783fac70d114f285a6aa2e072680f7f264af652a51e7c,data/raw/gbif/api/dataset_239f2462-dbfb-4a47-a5f0-1b7b23b91221.json,
gbif,dataset_2e8ab72b-5931-4e04-b8ff-e1fb61305d17,https://api.gbif.org/v1/dataset/2e8ab72b-5931-4e04-b8ff-e1fb61305d17,{},2026-09-18T23:17:24Z,200,d29d9684fd62722d99b127b006cf9f3a9548631de2a531dad062989485e1a8cc,data/raw/gbif/api/dataset_2e8ab72b-5931-4e04-b8ff-e1fb61305d17.json,
gbif,dataset_33044985-693e-42ad-93e7-ec3b0b345978,https://api.gbif.org/v1/dataset/33044985-693e-42ad-93e7-ec3b0b345978,{},2026-09-18T23:17:29Z,200,6af6be3670f6c03311443fa8e4811c663e22f559647c12eab16cedeb9094a35d,data/raw/gbif/api/dataset_33044985-693e-42ad-93e7-ec3b0b345978.json,
gbif,dataset_50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://api.gbif.org/v1/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7,{},2026-09-18T23:17:19Z,200,4c65e2de85086d8525b162cd8c3be6fb3d40f2469e2ce21297b1c3b08d5d1992,data/raw/gbif/api/dataset_50c9509d-22c7-4a22-a47d-8c48425ef4a7.json,
gbif,dataset_5a6538b8-e35c-46c4-8978-6858a657a75f,https://api.gbif.org/v1/dataset/5a6538b8-e35c-46c4-8978-6858a657a75f,{},2026-09-18T23:17:24Z,200,b216b8cf9553fd0218c81938b321187f9e1f2b4c960d1770238d694e492f116b,data/raw/gbif/api/dataset_5a6538b8-e35c-46c4-8978-6858a657a75f.json,
gbif,dataset_7ba21c92-f762-11e1-a439-00145eb45e9a,https://api.gbif.org/v1/dataset/7ba21c92-f762-11e1-a439-00145eb45e9a,{},2026-09-18T23:17:25Z,200,d0a0cd8f898f31b94c365be117ff3e8d99a7f9fe54e4cd8c17713621f8281268,data/raw/gbif/api/dataset_7ba21c92-f762-11e1-a439-00145eb45e9a.json,
gbif,dataset_7ed55b51-4336-4f74-a05a-274afffe771f,https://api.gbif.org/v1/dataset/7ed55b51-4336-4f74-a05a-274afffe771f,{},2026-09-18T23:17:25Z,200,62b936e4fc3d267d8d3149b3e40030c1d6669de73081bc7e84027d8ca331c45b,data/raw/gbif/api/dataset_7ed55b51-4336-4f74-a05a-274afffe771f.json,
gbif,dataset_81e6cff2-b409-417e-8c72-e1bbafb7c61f,https://api.gbif.org/v1/dataset/81e6cff2-b409-417e-8c72-e1bbafb7c61f,{},2026-09-18T23:17:22Z,200,d8bc78ebf9e60647cae4080b8a4e5628509eb23a756364fb50a955d7a151c1b4,data/raw/gbif/api/dataset_81e6cff2-b409-417e-8c72-e1bbafb7c61f.json,
gbif,dataset_821cc27a-e3bb-4bc5-ac34-89ada245069d,https://api.gbif.org/v1/dataset/821cc27a-e3bb-4bc5-ac34-89ada245069d,{},2026-09-18T23:17:21Z,200,f538bebdf7b75c3b7b960e6529086522bbe3e4b7a977dca7f623434d7b90f118,data/raw/gbif/api/dataset_821cc27a-e3bb-4bc5-ac34-89ada245069d.json,
gbif,dataset_9f99a46b-d812-45a2-b51a-3f48f65357b5,https://api.gbif.org/v1/dataset/9f99a46b-d812-45a2-b51a-3f48f65357b5,{},2026-09-18T23:17:28Z,200,ee7f37680993535bbc82e9e48b6cfacbf152d9a6aac5ac03bc22ed77f39252f4,data/raw/gbif/api/dataset_9f99a46b-d812-45a2-b51a-3f48f65357b5.json,
gbif,dataset_b258e0d8-d282-4d84-898a-655c5375f645,https://api.gbif.org/v1/dataset/b258e0d8-d282-4d84-898a-655c5375f645,{},2026-09-18T23:17:26Z,200,d2b44545d516adb3ec5e47ad326145727f12d7501b55944f61dc64b0f341fb99,data/raw/gbif/api/dataset_b258e0d8-d282-4d84-898a-655c5375f645.json,
gbif,dataset_d415c253-4d61-4459-9d25-4015b9084fb0,https://api.gbif.org/v1/dataset/d415c253-4d61-4459-9d25-4015b9084fb0,{},2026-09-18T23:17:20Z,200,abcb761cdfd8d468d8decba00647b7b489c4c6737cf262829003f225b67bd5d1,data/raw/gbif/api/dataset_d415c253-4d61-4459-9d25-4015b9084fb0.json,
gbif,dataset_d714382d-5890-4234-ae81-696eeb53658a,https://api.gbif.org/v1/dataset/d714382d-5890-4234-ae81-696eeb53658a,{},2026-09-18T23:17:21Z,200,c82bd13ae481621ce54efe209e57df1a2d215fd9f819d24c1113393c84bb8230,data/raw/gbif/api/dataset_d714382d-5890-4234-ae81-696eeb53658a.json,
gbif,dataset_danish_mycological,https://api.gbif.org/v1/dataset/84d26682-f762-11e1-a439-00145eb45e9a,{},2026-09-18T23:28:11Z,200,07a0dc0c54e20ffadd8c82fc184eb6f5ca561eb653335e42624b65e9764003fb,data/raw/gbif/api/dataset_danish_mycological.json,
