dataset_id,table,level,taxon,n_images,n_observations
fungitastic,full/Train,species,Trametes versicolor,2789.0,1592.0
fungitastic,full/Train,species,Fomitopsis pinicola,2585.0,1466.0
fungitastic,full/Train,species,Hypholoma fasciculare,2359.0,1380.0
fungitastic,full/Train,species,Stereum hirsutum,1962.0,1091.0
fungitastic,full/Train,species,Auricularia auricula-judae,1957.0,1362.0
fungitastic,full/Train,species,Fomes fomentarius,1918.0,1111.0
fungitastic,full/Train,species,Bjerkandera adusta,1913.0,1060.0
fungitastic,full/Train,species,Clitocybe nebularis,1806.0,905.0
fungitastic,full/Train,species,Pluteus cervinus,1792.0,847.0
fungitastic,full/Train,species,Pleurotus ostreatus,1778.0,988.0
fungitastic,full/Train,species,Tremella mesenterica,1684.0,1346.0
fungitastic,full/Train,species,Ganoderma applanatum,1652.0,874.0
fungitastic,full/Train,species,Mycena galericulata,1640.0,818.0
fungitastic,full/Train,species,Plicaturopsis crispa,1626.0,1036.0
fungitastic,full/Train,species,Coprinellus micaceus,1609.0,884.0
fungitastic,full/Train,species,Daedaleopsis confragosa,1552.0,834.0
fungitastic,full/Train,species,Neoboletus erythropus,1542.0,734.0
fungitastic,full/Train,species,Trametes gibbosa,1471.0,782.0
fungitastic,full/Train,species,Imleria badia,1437.0,764.0
fungitastic,full/Train,species,Hygrocybe miniata,1423.0,754.0
fungitastic,full/Train,species,Trametes hirsuta,1406.0,758.0
fungitastic,full/Train,species,Boletus edulis,1396.0,803.0
fungitastic,full/Train,species,Meripilus giganteus,1394.0,821.0
fungitastic,full/Train,species,Amanita muscaria,1367.0,963.0
fungitastic,full/Train,species,Tubaria furfuracea,1316.0,699.0
fungitastic,full/Train,species,Gymnopilus penetrans,1308.0,697.0
fungitastic,full/Train,species,Cuphophyllus virgineus,1298.0,837.0
fungitastic,full/Train,species,Armillaria lutea,1297.0,700.0
fungitastic,full/Train,species,Kuehneromyces mutabilis,1294.0,710.0
fungitastic,full/Train,species,Leccinum scabrum,1274.0,647.0
fungitastic,full/Train,species,Schizophyllum commune,1266.0,792.0
fungitastic,full/Train,species,Fomitopsis betulina,1263.0,763.0
fungitastic,full/Train,species,Xylaria hypoxylon,1262.0,944.0
fungitastic,full/Train,species,Laccaria amethystina,1258.0,806.0
fungitastic,full/Train,species,Lycoperdon perlatum,1257.0,855.0
fungitastic,full/Train,species,Phlebia tremellosa,1243.0,649.0
fungitastic,full/Train,species,Chondrostereum purpureum,1233.0,746.0
fungitastic,full/Train,species,Byssomerulius corium,1229.0,772.0
fungitastic,full/Train,species,Coprinus comatus,1208.0,850.0
fungitastic,full/Train,species,Micarea lignaria,1203.0,596.0
fungitastic,full/Train,species,Suillellus luridus,1185.0,576.0
fungitastic,full/Train,species,Cerioporus varius,1170.0,564.0
fungitastic,full/Train,species,Lentinus brumalis,1169.0,592.0
fungitastic,full/Train,species,Hymenopellis radicata,1167.0,571.0
fungitastic,full/Train,species,Exidia nigricans,1165.0,851.0
fungitastic,full/Train,species,Cerioporus squamosus,1165.0,635.0
fungitastic,full/Train,species,Phlebia radiata,1160.0,716.0
fungitastic,full/Train,species,Daedalea quercina,1159.0,635.0
fungitastic,full/Train,species,Laccaria laccata,1150.0,672.0
fungitastic,full/Train,species,Suillus grevillei,1140.0,611.0
fungitastic,full/Train,species,Mucidula mucida,1121.0,689.0
fungitastic,full/Train,species,Lepista nuda,1119.0,582.0
fungitastic,full/Train,species,Phaeolus schweinitzii,1096.0,646.0
fungitastic,full/Train,species,Xerocomellus pruinatus,1094.0,512.0
fungitastic,full/Train,species,Hygrocybe ceracea,1086.0,700.0
fungitastic,full/Train,species,Xerocomellus chrysenteron,1083.0,542.0
fungitastic,full/Train,species,Pholiota squarrosa,1063.0,585.0
fungitastic,full/Train,species,Amanita rubescens,1046.0,511.0
fungitastic,full/Train,species,Xanthoria parietina,1038.0,873.0
fungitastic,full/Train,species,Candolleomyces candolleanus,1036.0,552.0
fungitastic,full/Train,species,Paralepista flaccida,1033.0,592.0
fungitastic,full/Train,species,Phellinus pomaceus,1023.0,585.0
fungitastic,full/Train,species,Scleroderma citrinum,1022.0,601.0
fungitastic,full/Train,species,Russula ochroleuca,1017.0,536.0
fungitastic,full/Train,species,Ramaria stricta,1012.0,682.0
fungitastic,full/Train,species,Parmelia sulcata,1010.0,735.0
fungitastic,full/Train,species,Cylindrobasidium evolvens,1003.0,666.0
fungitastic,full/Train,species,Exidia glandulosa,998.0,637.0
fungitastic,full/Train,species,Panellus stipticus,996.0,583.0
fungitastic,full/Train,species,Gymnopilus spectabilis,994.0,501.0
fungitastic,full/Train,species,Lacrymaria lacrymabunda,994.0,476.0
fungitastic,full/Train,species,Amanita fulva,993.0,544.0
fungitastic,full/Train,species,Helvella crispa,985.0,694.0
fungitastic,full/Train,species,Gloeophyllum sepiarium,980.0,540.0
fungitastic,full/Train,species,Fuscoporia ferrea,977.0,511.0
fungitastic,full/Train,species,Dacrymyces stillatus,959.0,638.0
fungitastic,full/Train,species,Hygrophoropsis aurantiaca,959.0,596.0
fungitastic,full/Train,species,Paxillus involutus,957.0,511.0
fungitastic,full/Train,species,Lycogala epidendrum,947.0,626.0
fungitastic,full/Train,species,Hypoxylon fragiforme,946.0,615.0
fungitastic,full/Train,species,Hygrocybe conica,940.0,551.0
fungitastic,full/Train,species,Tricholoma scalpturatum,935.0,562.0
fungitastic,full/Train,species,Russula adusta,926.0,500.0
fungitastic,full/Train,species,Cuphophyllus pratensis,912.0,583.0
fungitastic,full/Train,species,Chlorophyllum olivieri,911.0,405.0
fungitastic,full/Train,species,Ganoderma pfeifferi,891.0,471.0
fungitastic,full/Train,species,Bolbitius titubans,891.0,455.0
fungitastic,full/Train,species,Jackrogersella multiformis,889.0,574.0
fungitastic,full/Train,species,Phallus impudicus,886.0,635.0
fungitastic,full/Train,species,Coprinopsis picacea,884.0,695.0
fungitastic,full/Train,species,Mycetinis alliaceus,881.0,573.0
fungitastic,full/Train,species,Clitopilus prunulus,880.0,528.0
fungitastic,full/Train,species,Gliophorus psittacinus,877.0,610.0
fungitastic,full/Train,species,Coprinellus disseminatus,874.0,531.0
fungitastic,full/Train,species,Mycena rosea,874.0,526.0
fungitastic,full/Train,species,Flammulina velutipes,870.0,466.0
fungitastic,full/Train,species,Ischnoderma resinosum,864.0,471.0
fungitastic,full/Train,species,Ascocoryne sarcoides,863.0,579.0
fungitastic,full/Train,species,Stropharia cyanea,863.0,405.0
fungitastic,full/Train,species,Laetiporus sulphureus,858.0,537.0
fungitastic,full/Train,species,Tricholomopsis rutilans,858.0,470.0
fungitastic,full/Train,species,Hygrocybe coccinea,854.0,486.0
fungitastic,full/Train,species,Pseudoclitocybe cyathiformis,848.0,464.0
fungitastic,full/Train,species,Peniophora incarnata,840.0,609.0
fungitastic,full/Train,species,Heterobasidion annosum,839.0,431.0
fungitastic,full/Train,species,Skeletocutis nemoralis,821.0,397.0
fungitastic,full/Train,species,Apioperdon pyriforme,818.0,527.0
fungitastic,full/Train,species,Xylodon radula,812.0,500.0
fungitastic,full/Train,species,Calocybe gambosa,800.0,422.0
fungitastic,full/Train,species,Podofomes mollis,787.0,468.0
fungitastic,full/Train,species,Crepidotus mollis,781.0,388.0
fungitastic,full/Train,species,Stereum subtomentosum,780.0,454.0
fungitastic,full/Train,species,Marasmius oreades,779.0,449.0
fungitastic,full/Train,species,Sarcomyxa serotina,772.0,388.0
fungitastic,full/Train,species,Cystoderma amianthinum,771.0,501.0
fungitastic,full/Train,species,Sarcoscypha austriaca,764.0,407.0
fungitastic,full/Train,species,Xanthoporia radiata,757.0,405.0
fungitastic,full/Train,species,Armillaria ostoyae,755.0,398.0
fungitastic,full/Train,species,Fistulina hepatica,752.0,463.0
fungitastic,full/Train,species,Calocera viscosa,751.0,609.0
fungitastic,full/Train,species,Hymenochaete rubiginosa,751.0,483.0
fungitastic,full/Train,species,Mycena haematopus,746.0,438.0
fungitastic,full/Train,species,Lactarius blennius,741.0,400.0
fungitastic,full/Train,species,Mycena crocata,740.0,430.0
fungitastic,full/Train,species,Stereum rugosum,739.0,442.0
fungitastic,full/Train,species,Lepiota cristata,738.0,456.0
fungitastic,full/Train,species,Rhodocollybia asema,731.0,407.0
fungitastic,full/Train,species,Galerina marginata,726.0,406.0
fungitastic,full/Train,species,Xerocomus ferrugineus,724.0,311.0
fungitastic,full/Train,species,Reticularia lycoperdon,716.0,412.0
fungitastic,full/Train,species,Cyanosporus caesius,716.0,411.0
fungitastic,full/Train,species,Agaricus campestris,706.0,367.0
fungitastic,full/Train,species,Schizopora paradoxa,702.0,413.0
fungitastic,full/Train,species,Craterellus tubaeformis,699.0,468.0
