dataset_id,table,n_rows,is_sample,n_exact_duplicate_rows,n_rows_with_repeated_image_id,n_distinct_repeated_image_id,n_rows_with_repeated_image_file,n_distinct_repeated_image_file,n_rows_with_repeated_url,n_distinct_repeated_url,n_observation_ids,n_observation_ids_with_multiple_rows,n_observations_with_conflicting_species,sha256_duplicates,dataset_specific_checks
fungitastic,full/Train,433702,False,0,,,0.0,0.0,,,246884.0,109998.0,0.0,NOT_VERIFIED (image files not downloaded),{}
fungitastic,full_union,633114,False,0,,,0.0,0.0,,,346459.0,163952.0,0.0,NOT_VERIFIED (image files not downloaded),"{""duplicate_note"": ""las filas repetidas entre CSV corresponden a la relación ClosedSet/OpenSet (mismos archivos en varios CSV), no a duplicados dentro de un CSV""}"
fungitastic,mini_union,67634,False,0,,,0.0,0.0,,,36215.0,17980.0,0.0,NOT_VERIFIED (image files not downloaded),{}
fungitastic,fewshot_union,12015,False,0,,,0.0,0.0,,,6391.0,3105.0,0.0,NOT_VERIFIED (image files not downloaded),{}
mind_funga_v2,files_v2,18023,False,0,0.0,0.0,42.0,21.0,,,,,,SOURCE_REPORTED (hash publicado por Mendeley; no recalculado localmente),"{""sha256_source_reported_groups_with_duplicates"": 1618.0, ""sha256_source_reported_files_in_duplicate_groups"": 3321.0, ""sha256_source_reported_redundant_copies"": 1703.0, ""sha256_source_reported_groups_spanning_multiple_taxa"": 7.0, ""filenames_with_branco_or_verde"": 2141.0, ""same_filename_and_size_in_multiple_taxa"": 6.0}"
inaturalist_open_data,observations_head_fragment,43784,True,0,,,,,,,43784.0,0.0,,NOT_VERIFIED (image files not downloaded),{}
inaturalist_open_data,photos_head_fragment,70737,True,0,576.0,279.0,,,,,48607.0,11833.0,,NOT_VERIFIED (image files not downloaded),{}
inaturalist_api,random_sample200_research_photos,200,True,0,,,,,,,200.0,0.0,0.0,NOT_VERIFIED (image files not downloaded),{}
sib_macrohongosmitu,occurrence,60,False,0,,,0.0,0.0,,,60.0,0.0,0.0,NOT_VERIFIED (image files not downloaded),"{""decimal_comma_coordinates"": 0.0, ""catalogNumber_repeats"": 0.0, ""occurrenceID_repeats"": 0.0, ""date_from_year_month_day"": 60.0, ""taxon_from_organismName"": 60.0, ""verbatimEventDate_disagrees_with_year_month_day"": 59.0, ""verbatimEventDate_comparable"": 60.0}"
sib_macrohongos_jbb_2023_1,occurrence,184,False,0,,,0.0,0.0,,,184.0,0.0,0.0,NOT_VERIFIED (image files not downloaded),"{""decimal_comma_coordinates"": 368.0, ""catalogNumber_repeats"": 0.0, ""occurrenceID_repeats"": 0.0, ""date_from_year_month_day"": 0.0, ""taxon_from_organismName"": 0.0, ""verbatimEventDate_disagrees_with_year_month_day"": 0.0, ""verbatimEventDate_comparable"": 0.0}"
sib_hongos_col2023,occurrence,1462,False,0,,,0.0,0.0,,,1462.0,0.0,0.0,NOT_VERIFIED (image files not downloaded),"{""decimal_comma_coordinates"": 0.0, ""catalogNumber_repeats"": 0.0, ""occurrenceID_repeats"": 0.0, ""date_from_year_month_day"": 0.0, ""taxon_from_organismName"": 0.0, ""verbatimEventDate_disagrees_with_year_month_day"": 0.0, ""verbatimEventDate_comparable"": 0.0}"
gbif,colombia_stillimage_sample900,900,True,0,,,,,0.0,0.0,900.0,0.0,0.0,NOT_VERIFIED (image files not downloaded),"{""media_url_repeats_in_sample"": 0.0, ""media_items_in_sample"": 1942.0}"
mushroom_observer,fungi_all_observations,608302,False,0,,,,,,,608302.0,0.0,0.0,NOT_VERIFIED (image files not downloaded),"{""observation_id_repeats"": 0.0}"
mushroom_observer,fungi_all_images,1925687,False,24,2750.0,1247.0,,,,,589304.0,469938.0,0.0,NOT_VERIFIED (image files not downloaded),"{""image_ids_linked_to_more_than_one_observation"": 1230.0, ""exact_duplicate_image_observation_pairs"": 24.0}"
mushroom_observer,fungi_colombia_observations,21019,False,0,,,,,,,21019.0,0.0,0.0,NOT_VERIFIED (image files not downloaded),"{""observation_id_repeats"": 0.0}"
mushroom_observer,fungi_colombia_images,61359,False,0,16.0,8.0,,,,,20973.0,18848.0,0.0,NOT_VERIFIED (image files not downloaded),"{""image_ids_linked_to_more_than_one_observation"": 8.0, ""exact_duplicate_image_observation_pairs"": 0.0}"
df20,train+public_test,295938,False,0,0.0,0.0,0.0,0.0,,,177170.0,72847.0,0.0,NOT_VERIFIED (image files not downloaded),"{""conflicting_species_note"": ""observaciones con más de una especie: ver n_observations_with_conflicting_species""}"
