dataset_id,table,level,unit,n_classes,total,min,max,mean,median,p10,p25,p75,p90,p95,p99,ratio_max_min,n_classes_eq1,n_classes_lt5,n_classes_lt10,n_classes_lt20,pct_classes_lt10,pct_samples_in_top10pct_classes,n_classes_covering_50pct_samples,gini
fungitastic,full/Train,species,images,2786,433702,6,2789,155.67,52.0,14.0,22.0,162.0,413.5,683.5,1294.4500000000005,464.8,0,0,98,571,3.52,52.22,257,0.6655
fungitastic,full/Train,species,observations,2786,246884,5,1592,88.62,27.0,6.0,10.0,90.0,239.5,401.5,773.5000000000009,318.4,0,0,659,1187,23.65,53.69,244,0.6858
fungitastic,full/Train,genus,images,918,433702,6,15572,472.44,115.0,17.0,32.0,434.75,1230.2000000000005,1989.05,4735.850000000037,2595.3,0,0,16,122,1.74,59.5,63,0.7419
fungitastic,full/Train,genus,observations,918,246884,5,8750,268.94,59.0,7.0,13.25,255.75,698.5000000000003,1161.4999999999998,2652.2300000000155,1750.0,0,0,160,295,17.43,60.11,62,0.7525
fungitastic,full/Train,family,images,308,430155,7,26113,1396.61,239.0,23.0,59.75,1213.0,3441.5000000000005,6128.3,19456.93000000001,3730.4,0,0,3,27,0.97,65.27,17,0.78
fungitastic,full/Train,family,observations,308,244892,5,14698,795.1,130.5,9.0,25.75,693.5,2026.6,3654.749999999998,10542.360000000004,2939.6,0,0,33,69,10.71,64.84,17,0.7828
fungitastic,full_union,species,images,4418,633114,1,4073,143.3,30.0,3.0,8.0,114.0,367.3000000000002,705.5999999999985,1688.579999999998,4073.0,150,642,1257,1801,28.45,63.68,263,0.7642
fungitastic,full_union,species,observations,4418,346459,1,2328,78.42,13.0,1.0,2.0,58.0,208.6000000000004,404.59999999999854,967.8099999999996,2328.0,945,1476,1964,2574,44.45,66.71,239,0.792
fungitastic,full_union,genus,images,1406,633114,1,21826,450.29,53.0,4.0,13.0,300.5,1225.5,2070.5,5540.550000000004,21826.0,29,142,296,458,21.05,69.99,65,0.8159
fungitastic,full_union,genus,observations,1406,346459,1,11789,246.41,21.0,1.0,3.0,156.75,666.5,1212.25,3149.6000000000013,11789.0,228,402,524,691,37.27,71.61,62,0.8313
fungitastic,full_union,family,images,425,627418,1,37173,1476.28,170.0,6.400000000000006,30.0,910.0,3296.800000000001,6302.799999999993,24930.039999999968,37173.0,5,23,55,93,12.94,72.18,17,0.8278
fungitastic,full_union,family,observations,425,343447,1,20208,808.11,74.0,2.0,8.0,481.0,1957.0000000000005,3525.199999999997,14013.59999999997,20208.0,38,84,112,142,26.35,72.7,18,0.8361
fungitastic,mini_union,species,images,210,67634,9,2505,322.07,169.0,30.9,74.0,394.25,867.9,1075.65,2192.84,278.3,0,0,1,6,0.48,42.6,28,0.581
fungitastic,mini_union,species,observations,210,36215,5,1547,172.45,93.0,14.0,38.0,219.5,427.1,618.1499999999997,1263.1899999999994,309.4,0,0,7,31,3.33,43.28,28,0.5898
fungitastic,mini_union,genus,images,6,67634,3529,21745,11272.33,9398.0,4537.5,6179.5,16192.5,19881.5,20813.25,21558.65,6.2,0,0,0,0,0.0,32.15,2,0.3231
fungitastic,mini_union,genus,observations,6,36215,1927,11762,6035.83,4897.5,2524.5,3289.75,8707.25,10685.5,11223.75,11654.35,6.1,0,0,0,0,0.0,32.48,2,0.326
fungitastic,mini_union,family,images,6,67634,3529,21745,11272.33,9398.0,4537.5,6179.5,16192.5,19881.5,20813.25,21558.65,6.2,0,0,0,0,0.0,32.15,2,0.3231
fungitastic,mini_union,family,observations,6,36215,1927,11762,6035.83,4897.5,2524.5,3289.75,8707.25,10685.5,11223.75,11654.35,6.1,0,0,0,0,0.0,32.48,2,0.326
fungitastic,fewshot_union,species,images,2413,12015,1,50,4.98,3.0,1.0,2.0,6.0,11.0,14.400000000000093,24.0,50.0,511,1478,2109,2363,87.4,33.27,471,0.4624
fungitastic,fewshot_union,species,observations,2413,6391,1,24,2.65,2.0,1.0,1.0,3.0,5.0,7.0,10.88000000000011,24.0,926,2075,2375,2410,98.43,29.1,552,0.3886
fungitastic,fewshot_union,genus,images,1014,12015,1,348,11.85,6.0,1.0,3.0,12.0,25.0,41.0,100.61,348.0,132,415,701,874,69.13,50.05,102,0.6151
fungitastic,fewshot_union,genus,observations,1014,6391,1,226,6.3,3.0,1.0,1.0,6.0,12.0,20.0,58.35000000000002,226.0,261,651,873,960,86.09,49.04,108,0.5955
fungitastic,fewshot_union,family,images,364,11734,1,600,32.24,12.0,2.0,5.0,31.25,70.0,123.5499999999999,289.2500000000001,600.0,23,85,154,223,42.31,53.37,32,0.6678
fungitastic,fewshot_union,family,observations,364,6235,1,397,17.13,7.0,1.0,3.0,16.25,36.69999999999999,61.849999999999966,148.96000000000004,397.0,47,139,213,288,58.52,53.36,32,0.6584
mind_funga_v2,files_v2,species,images,346,14690,1,714,42.46,23.0,5.0,11.0,50.0,91.5,144.75,249.30000000000007,714.0,12,34,75,149,21.68,42.2,49,0.5621
mind_funga_v2,files_v2,genus,images,240,18023,1,1122,75.1,32.5,5.0,12.75,86.25,167.49999999999991,243.44999999999985,628.5199999999966,1122.0,7,22,47,82,19.58,48.72,26,0.6343
mind_funga_v2,files_v2,label_folder,images,509,18023,1,714,35.41,20.0,4.0,8.0,41.0,80.19999999999999,112.0,236.36000000000013,714.0,21,73,150,254,29.47,42.98,69,0.5771
inaturalist_api,random_sample200_research_photos,species,observations,96,196,1,25,2.04,1.0,1.0,1.0,2.0,3.5,5.0,17.399999999999977,25.0,64,90,94,95,97.92,41.84,16,0.4307
inaturalist_api,random_sample200_research_photos,genus,observations,72,200,1,27,2.78,1.0,1.0,1.0,3.0,5.0,7.900000000000006,21.32000000000005,27.0,39,63,69,71,95.83,47.0,10,0.5097
inaturalist_api,species_counts_research_grade,species,observations,957,16404,1,2012,17.14,2.0,1.0,1.0,7.0,23.0,57.79999999999973,278.71999999999923,2012.0,359,641,765,840,79.94,79.18,18,0.8384
inaturalist_api,species_counts_research_grade,genus,observations,398,16404,1,2288,41.22,4.0,1.0,2.0,20.0,71.30000000000001,184.09999999999968,583.2399999999943,2288.0,92,210,258,296,64.82,78.79,10,0.8502
inaturalist_api,species_counts_all_grades,species,observations,2447,40603,1,2166,16.59,3.0,1.0,1.0,9.0,30.0,64.0,245.0,2166.0,846,1551,1872,2104,76.5,74.34,70,0.8117
inaturalist_api,species_counts_all_grades,genus,observations,989,40603,1,2708,41.05,4.0,1.0,1.0,16.0,80.40000000000009,187.9999999999996,726.2000000000003,2708.0,273,541,663,773,67.04,80.94,25,0.8594
sib_macrohongosmitu,occurrence,species,observations,25,27,1,2,1.08,1.0,1.0,1.0,1.0,1.0,1.7999999999999972,2.0,2.0,23,25,25,25,100.0,18.52,12,0.0681
sib_macrohongosmitu,occurrence,genus,observations,27,59,1,28,2.19,1.0,1.0,1.0,1.0,2.0,2.0,21.23999999999996,28.0,21,26,26,26,96.3,54.24,2,0.5035
sib_macrohongosmitu,occurrence,family,observations,15,59,1,38,3.93,1.0,1.0,1.0,1.5,4.0,14.199999999999964,33.23999999999998,38.0,11,14,14,14,93.33,71.19,1,0.6689
sib_macrohongos_jbb_2023_1,occurrence,species,observations,56,184,1,86,3.29,1.0,1.0,1.0,2.0,3.5,5.5,43.10000000000022,86.0,36,51,55,55,98.21,62.5,2,0.6295
sib_macrohongos_jbb_2023_1,occurrence,genus,observations,44,98,1,9,2.23,1.0,1.0,1.0,3.0,4.0,6.700000000000003,9.0,9.0,23,40,44,44,100.0,34.69,10,0.3915
sib_macrohongos_jbb_2023_1,occurrence,family,observations,30,106,1,21,3.53,2.0,1.0,1.0,3.75,9.0,10.649999999999991,18.390000000000008,21.0,12,24,28,29,93.33,39.62,5,0.5038
sib_hongos_col2023,occurrence,species,observations,24,33,1,4,1.38,1.0,1.0,1.0,1.25,2.0,2.849999999999998,3.77,4.0,18,24,24,24,100.0,27.27,8,0.221
sib_hongos_col2023,occurrence,genus,observations,245,1225,1,58,5.0,2.0,1.0,1.0,5.0,12.0,18.0,40.68000000000001,58.0,96,171,215,234,87.76,47.35,28,0.5876
sib_hongos_col2023,occurrence,family,observations,106,1287,1,219,12.14,4.5,1.0,1.0,14.0,24.5,43.5,73.80000000000001,219.0,30,53,68,89,64.15,52.91,10,0.6674
gbif,colombia_stillimage_sample900,species,observations,293,769,1,66,2.62,1.0,1.0,1.0,2.0,5.0,9.0,18.39999999999992,66.0,177,258,280,290,95.56,47.59,34,0.5147
gbif,colombia_stillimage_sample900,genus,observations,190,864,1,84,4.55,2.0,1.0,1.0,4.0,11.0,17.0,45.86999999999975,84.0,88,144,168,184,88.42,51.85,18,0.6187
gbif,colombia_stillimage_sample900,family,observations,89,899,1,84,10.1,4.0,1.0,1.0,11.0,25.40000000000001,45.39999999999989,69.04000000000008,84.0,28,46,61,78,68.54,50.5,9,0.6431
