dataset_id,metric,value,evidence
inaturalist_api,fungi_world_observations,22112045,SOURCE_REPORTED (API count at query date)
inaturalist_api,fungi_colombia_observations,127886,SOURCE_REPORTED (API count at query date)
inaturalist_api,fungi_colombia_with_photos,127632,SOURCE_REPORTED (API count at query date)
inaturalist_api,fungi_colombia_research_grade,16480,SOURCE_REPORTED (API count at query date)
inaturalist_api,fungi_colombia_research_photos_licensed,10600,SOURCE_REPORTED (API count at query date)
inaturalist_api,species_colombia_all,2447,SOURCE_REPORTED (API count at query date)
inaturalist_api,species_colombia_research,957,SOURCE_REPORTED (API count at query date)
inaturalist_api,photo_license_counts_research.cc0,149,SOURCE_REPORTED (API count at query date)
inaturalist_api,photo_license_counts_research.cc-by,1201,SOURCE_REPORTED (API count at query date)
inaturalist_api,photo_license_counts_research.cc-by-nc,8443,SOURCE_REPORTED (API count at query date)
inaturalist_api,photo_license_counts_research.cc-by-sa,114,SOURCE_REPORTED (API count at query date)
inaturalist_api,photo_license_counts_research.cc-by-nd,104,SOURCE_REPORTED (API count at query date)
inaturalist_api,photo_license_counts_research.cc-by-nc-sa,319,SOURCE_REPORTED (API count at query date)
inaturalist_api,photo_license_counts_research.cc-by-nc-nd,271,SOURCE_REPORTED (API count at query date)
inaturalist_api,colombia_place_id,7196,SOURCE_REPORTED (API count at query date)
inaturalist_api,species_counts_research_grade_rows_collected,957,SOURCE_REPORTED (API count at query date)
inaturalist_api,species_counts_all_grades_rows_collected,2447,SOURCE_REPORTED (API count at query date)
inaturalist_api,sample_photos_per_observation_max,20,SOURCE_REPORTED (API count at query date)
inaturalist_api,sample_n_obscured,17,SOURCE_REPORTED (API count at query date)
gbif,fungi_world_records,60740476,SOURCE_REPORTED (API count at query date)
gbif,fungi_world_with_stillimage,11505077,SOURCE_REPORTED (API count at query date)
gbif,fungi_colombia_records,548198,SOURCE_REPORTED (API count at query date)
gbif,fungi_colombia_stillimage,21638,SOURCE_REPORTED (API count at query date)
gbif,fungi_colombia_stillimage_with_coords,13704,SOURCE_REPORTED (API count at query date)
gbif,fungi_colombia_stillimage_without_coords,7934,SOURCE_REPORTED (API count at query date)
gbif,fungi_colombia_stillimage_from_inaturalist_dataset,9678,SOURCE_REPORTED (API count at query date)
gbif,fungi_published_by_colombia_stillimage,7853,SOURCE_REPORTED (API count at query date)
gbif,license_counts_colombia_stillimage.CC_BY_NC_4_0,10749,SOURCE_REPORTED (API count at query date)
gbif,license_counts_colombia_stillimage.CC0_1_0,7594,SOURCE_REPORTED (API count at query date)
gbif,license_counts_colombia_stillimage.CC_BY_4_0,3295,SOURCE_REPORTED (API count at query date)
gbif,basis_of_record_colombia_stillimage.HUMAN_OBSERVATION,11637,SOURCE_REPORTED (API count at query date)
gbif,basis_of_record_colombia_stillimage.PRESERVED_SPECIMEN,9997,SOURCE_REPORTED (API count at query date)
gbif,basis_of_record_colombia_stillimage.LIVING_SPECIMEN,3,SOURCE_REPORTED (API count at query date)
gbif,basis_of_record_colombia_stillimage.MACHINE_OBSERVATION,1,SOURCE_REPORTED (API count at query date)
gbif,sample_records,900,SOURCE_REPORTED (API count at query date)
gbif,sample_images_per_record_max,20,SOURCE_REPORTED (API count at query date)
gbif,sample_records_without_species,131,SOURCE_REPORTED (API count at query date)
gbif,top_datasets_colombia_stillimage.iNaturalist Research-grade Observations,9678,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_colombia_stillimage.The New York Botanical Garden Herbarium (NY),4407,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_colombia_stillimage.Mushroom Observer,1828,SOURCE_REPORTED (API facet at query date)
gbif,"top_datasets_colombia_stillimage.NMNH Extant Specimen Records (USNM, US)",1601,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_colombia_stillimage.The cryptogamy collection (PC) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris),679,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_colombia_stillimage.Field Museum of Natural History (Botany) Fungi Collection,587,SOURCE_REPORTED (API facet at query date)
gbif,"top_datasets_colombia_stillimage.Fungarium, Oslo (O) UiO",509,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_colombia_stillimage.Cornell University Plant Pathology Herbarium,418,SOURCE_REPORTED (API facet at query date)
gbif,"top_datasets_colombia_stillimage.Royal Botanic Gardens, Kew - Fungarium Specimens",313,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_colombia_stillimage.The Lichens Collection at the Botanische Staatssammlung München,253,SOURCE_REPORTED (API facet at query date)
gbif,"top_datasets_colombia_stillimage.University of Colorado, Museum of Natural History Herbarium Lichen Collection",251,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_colombia_stillimage.Herbarium William Nylander (H-NYL),149,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_published_in_colombia_stillimage.iNaturalist Research-grade Observations,7713,SOURCE_REPORTED (API facet at query date)
gbif,"top_datasets_published_in_colombia_stillimage.Biodiversidad Fúngica del Caño Siete Machos: valor ecoturístico en el área de influencia del PNN Sierra de la Macarena, Colombia",58,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_published_in_colombia_stillimage.Royas y carbones de la Orinoquia,49,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_published_in_colombia_stillimage.Colección de Microorganismos-Pontificia Universidad Javeriana,31,SOURCE_REPORTED (API facet at query date)
gbif,top_datasets_published_in_colombia_stillimage.Microorganismos aislados de plantas útiles para la agricultura urbana,1,SOURCE_REPORTED (API facet at query date)
gbif,"top_datasets_published_in_colombia_stillimage.Herbario Jardín Botánico de Cartagena ""Guillermo Piñeres""",1,SOURCE_REPORTED (API facet at query date)
