dataset_id,table,grain,is_sample,evidence,n_rows,n_images,n_observations,n_species,n_genera,n_families,n_orders,observation_id_available,images_per_observation_mean,images_per_observation_median,images_per_observation_max,observations_with_1_image,observations_with_gt1_images,note
fungitastic,full/Train,image,False,LOCAL_VERIFIED,433702,433702.0,246884.0,2786.0,918.0,308.0,95.0,True,1.757,1.0,24.0,136886.0,109998.0,CSV oficial individual; su distribución es la relevante para entrenamiento
fungitastic,full/ClosedSet-Val,image,False,LOCAL_VERIFIED,89659,89659.0,45613.0,2275.0,830.0,293.0,92.0,True,1.966,2.0,24.0,20739.0,24874.0,CSV oficial individual
fungitastic,full/ClosedSet-Test,image,False,LOCAL_VERIFIED,91832,91832.0,48378.0,2301.0,833.0,295.0,91.0,True,1.898,2.0,15.0,23414.0,24964.0,CSV oficial individual
fungitastic,full/DNA-Test,image,False,LOCAL_VERIFIED,5105,5105.0,2041.0,714.0,205.0,80.0,16.0,True,2.501,2.0,15.0,849.0,1192.0,CSV oficial individual
fungitastic,full/OpenSet-Val,image,False,LOCAL_VERIFIED,96756,96756.0,47450.0,3308.0,1184.0,389.0,115.0,True,2.039,2.0,24.0,21013.0,26437.0,CSV oficial individual
fungitastic,full/OpenSet-Test,image,False,LOCAL_VERIFIED,97551,97551.0,50084.0,3285.0,1174.0,388.0,118.0,True,1.948,2.0,17.0,23759.0,26325.0,CSV oficial individual
fungitastic,mini/Train,image,False,LOCAL_VERIFIED,46842,46842.0,25786.0,210.0,6.0,6.0,3.0,True,1.817,1.0,16.0,13557.0,12229.0,CSV oficial individual
fungitastic,mini/Val,image,False,LOCAL_VERIFIED,9412,9412.0,4687.0,189.0,6.0,6.0,3.0,True,2.008,2.0,11.0,2049.0,2638.0,CSV oficial individual
fungitastic,mini/Test,image,False,LOCAL_VERIFIED,10738,10738.0,5531.0,191.0,6.0,6.0,3.0,True,1.941,2.0,9.0,2560.0,2971.0,CSV oficial individual
fungitastic,mini/DNA-Test,image,False,LOCAL_VERIFIED,642,642.0,211.0,90.0,5.0,5.0,2.0,True,3.043,2.0,15.0,69.0,142.0,CSV oficial individual
fungitastic,fewshot/Train,image,False,LOCAL_VERIFIED,7819,7819.0,4293.0,2413.0,1014.0,364.0,123.0,True,1.821,1.0,30.0,2328.0,1965.0,CSV oficial individual
fungitastic,fewshot/Val,image,False,LOCAL_VERIFIED,2285,2285.0,1099.0,569.0,363.0,196.0,77.0,True,2.079,2.0,9.0,472.0,627.0,CSV oficial individual
fungitastic,fewshot/Test,image,False,LOCAL_VERIFIED,1911,1911.0,999.0,565.0,373.0,209.0,84.0,True,1.913,2.0,10.0,486.0,513.0,CSV oficial individual
fungitastic,full_union,image,False,LOCAL_VERIFIED,633114,633114.0,346459.0,4418.0,1406.0,425.0,127.0,True,1.827,1.0,24.0,182507.0,163952.0,"unión en memoria (solo para contar) de todos los CSV del subconjunto, deduplicando por 'filename'; filas totales antes de deduplicar: 814605"
fungitastic,mini_union,image,False,LOCAL_VERIFIED,67634,67634.0,36215.0,210.0,6.0,6.0,3.0,True,1.868,1.0,16.0,18235.0,17980.0,"unión en memoria (solo para contar) de todos los CSV del subconjunto, deduplicando por 'filename'; filas totales antes de deduplicar: 67634"
fungitastic,fewshot_union,image,False,LOCAL_VERIFIED,12015,12015.0,6391.0,2413.0,1014.0,364.0,123.0,True,1.88,1.0,30.0,3286.0,3105.0,"unión en memoria (solo para contar) de todos los CSV del subconjunto, deduplicando por 'filename'; filas totales antes de deduplicar: 12015"
mind_funga_v2,files_v2,image,False,LOCAL_VERIFIED,18023,18023.0,,346.0,240.0,,,False,,,,,,índice de archivos de la API de Mendeley (v2) + nombres de carpeta del directorio central del ZIP oficial; especie/género DERIVADOS del nombre de carpeta (una sola palabra = solo género)
inaturalist_open_data,observations_head_fragment,observation,True,LOCAL_VERIFIED,43784,,43784.0,,,,,True,,,,,,FRAGMENTO (primeros 2 MB del .gz; filas más antiguas). Solo verifica el esquema; NO es representativo
inaturalist_open_data,photos_head_fragment,image,True,LOCAL_VERIFIED,70737,70440.0,48607.0,,,,,True,1.455,1.0,45.0,36774.0,11833.0,FRAGMENTO (primeros 3 MB del .gz; filas más antiguas). Solo verifica el esquema; NO es representativo
inaturalist_api,random_sample200_research_photos,observation,True,DERIVED,200,,200.0,96.0,72.0,,,True,,,,,,"MUESTRA aleatoria de 200 observaciones (fungi, Colombia, grado de investigación, con fotos); NO es el conjunto completo. La licencia es la de las fotos de cada observación"
sib_macrohongosmitu,occurrence,record,False,LOCAL_VERIFIED,60,0.0,60.0,25.0,27.0,15.0,1.0,True,,,,,,registros de ocurrencia (especímenes/observaciones) del DwC-A; NO hay extensión multimedia. Género/familia/especie/fecha DERIVADOS de organismName y year/month/day cuando los términos estándar están vacíos
sib_macrohongos_jbb_2023_1,occurrence,record,False,LOCAL_VERIFIED,184,0.0,184.0,56.0,44.0,30.0,10.0,True,,,,,,registros de ocurrencia (especímenes/observaciones) del DwC-A; NO hay extensión multimedia. Género/familia/especie/fecha DERIVADOS de organismName y year/month/day cuando los términos estándar están vacíos
sib_hongos_col2023,occurrence,record,False,LOCAL_VERIFIED,1462,0.0,1462.0,24.0,245.0,106.0,34.0,True,,,,,,registros de ocurrencia (especímenes/observaciones) del DwC-A; NO hay extensión multimedia. Género/familia/especie/fecha DERIVADOS de organismName y year/month/day cuando los términos estándar están vacíos
gbif,colombia_stillimage_sample900,record,True,DERIVED,900,,900.0,293.0,190.0,89.0,33.0,True,,,,,,MUESTRA de 900 registros (3 páginas de 300 en desplazamientos 0/6000/12000) de fungi con StillImage en Colombia; NO es el conjunto completo ni una muestra aleatoria estricta
mushroom_observer,fungi_all_observations,observation,False,LOCAL_VERIFIED,608302,,608302.0,17986.0,2364.0,490.0,143.0,True,,,,,,observaciones cuyo taxón está clasificado en Kingdom=Fungi; especie/género DERIVADOS de names.csv (rank 400=especie); país DERIVADO del último término del nombre de localidad
mushroom_observer,fungi_all_images,image,False,LOCAL_VERIFIED,1925687,1924184.0,589304.0,17508.0,2341.0,486.0,,True,3.268,3.0,181.0,119367.0,469937.0,pares imagen–observación de images_observations.csv unidos a images.csv (licencia/autor por imagen)
mushroom_observer,fungi_colombia_observations,observation,False,LOCAL_VERIFIED,21019,,21019.0,592.0,487.0,191.0,57.0,True,,,,,,observaciones cuyo taxón está clasificado en Kingdom=Fungi; especie/género DERIVADOS de names.csv (rank 400=especie); país DERIVADO del último término del nombre de localidad
mushroom_observer,fungi_colombia_images,image,False,LOCAL_VERIFIED,61359,61351.0,20973.0,589.0,481.0,189.0,,True,2.926,2.0,49.0,2125.0,18848.0,pares imagen–observación de images_observations.csv unidos a images.csv (licencia/autor por imagen)
df20,train,image,False,LOCAL_VERIFIED,266344,266344.0,166415.0,1577.0,566.0,189.0,65.0,True,1.6,1.0,23.0,102704.0,63711.0,CSV oficial DF20-train_metadata_PROD-2.csv
df20,public_test,image,False,LOCAL_VERIFIED,29594,29594.0,27814.0,1577.0,566.0,189.0,65.0,True,1.064,1.0,4.0,26159.0,1655.0,CSV oficial DF20-public_test_metadata_PROD-2.csv
df20,train+public_test,image,False,LOCAL_VERIFIED,295938,295938.0,177170.0,1577.0,566.0,189.0,65.0,True,1.67,1.0,23.0,104323.0,72847.0,unión en memoria de train y public_test (sin deduplicar)
